grid_id_main,ci_norm,vci_norm,lum_norm,lum_adjacency_norm,lum_intensity_norm,lum_proximity_norm,gi_norm,li_norm,single_family_ha,multi_family_ha,facility_neighborhood_ha,facility_sales_ha,facility_office_ha,facility_education_ha,facility_industrial_ha,parks_green_ha,water_area_ha,road_area_ha,subway_influence_ha,bus_routes_cnt,cooling_kwh_per_floor_m2,heating_kwh_per_floor_m2,other_electricity_kwh_per_floor_m2
185,0.9665069565473452,0.6931354472373011,0.0,1.0,0.0,0.0,0.0,0.0,0.1618993715893429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.236343583467688,0.0,0.0,0,10.372737870801583,9.949899458565671,9.3986623623146
186,0.9753476345866636,0.4657941085379855,0.0,1.0,0.0,0.0,0.0,0.0,0.1120114249840208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2727222512811134,0.7908288685366371,0.0,0,12.234299904938752,11.35424477835462,10.39453959520991
215,0.9144684831147648,0.4234616872389095,0.0,1.0,0.0,0.0,0.0,0.0,0.0107545191417057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8897072916669975,0.3744827723072142,0.0,0,21.886625548907446,17.023787471300363,11.238632087979585
216,0.9063395420208028,0.2603885500145085,0.0,1.0,0.0,0.0,0.0,0.0,0.1138755695312227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4232473826375506,0.7713613083017019,0.0,0,14.334846249700316,12.248051981676687,9.843693513608867
221,0.0,0.0,0.0,0.8899999999999998,0.9025232221844776,0.0,0.0,0.0,0.0,0.3196074027505634,0.0,0.0,0.0,0.0,0.3196074027505634,0.0,0.0,0.0475679087632651,0.0,0,15.293575696265844,15.553987527333511,6.180135707131489
223,0.2819309099650589,1.0,0.0,0.8561643835616436,0.9219267947264012,0.0,0.0,0.0,0.1063514552452458,0.0,0.0,0.0,0.0,0.0,0.1063514552452458,0.0,0.0006974351012254,0.5286782045321243,0.0,0,20.279946492965532,18.306117880704818,16.109393596333835
255,0.9430642073819292,0.1835541811019268,0.0,1.0,0.0,0.0,0.0,0.0,0.0141851489511197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.057101870263085,0.4269432519531476,0.0,0,17.159536418994364,13.88268112245924,10.036121874491489
263,0.0009773791049943,0.0062462518292495,0.0,0.6583333333333333,0.3728292181289198,0.0,0.2024660568908493,0.0,0.0,0.1560601373129157,0.0,0.0,0.0,0.0,0.1560601373129157,0.2853214857143595,3.118389979226326,1.200913049642648,0.0,0,29.980705126841098,23.80651491372708,8.751226694332914
264,0.0,0.0,0.0,0.7666666666666665,0.5147124249382055,0.0,0.0,0.0,0.0,0.024719176905592,0.0,0.0,0.0,0.0,0.024719176905592,0.0,2.9558823071770584,0.4482610990165515,0.0,0,28.3723846986814,19.944703477248527,21.003798530981925
266,0.0039035329564257,0.0616233123386444,0.0,0.6785714285714285,0.3626604595822443,0.0,0.0,0.0,0.0,0.1340709655367983,0.0,0.0,0.0,0.0,0.1138476096883364,0.0,1.5371392371524168,0.3933307442231545,0.0,0,27.069619542495065,21.168771087529237,13.637934992047532
267,0.0,0.0,0.0,0.6470588235294117,0.3545695305711147,0.0,0.0,0.0,0.0,0.0013465543607894,0.0,0.0,0.0,0.0,0.0013465543607894,0.0,1.7403881558007372,0.2045496119482001,0.0,0,301.8302388099671,212.5532921560384,94.74830999411343
271,0.012068991481522,0.7035245462705133,0.0,0.7176470588235294,0.7305338611797071,0.0,0.1694107191222594,0.0,0.0,16.965876734475366,0.0,0.0,0.0,0.0,16.965876734475366,0.0,1.3597969929372018,0.6144226301693466,0.0,0,4.804935402950495,11.171962976842243,2.6762426827093497
272,0.0,0.0,0.0,0.8749999999999998,0.8183023491724206,0.0,0.0,0.0,0.0,9.244571722056898,0.0,0.0,0.0,0.0,9.244571722056898,0.0,1.0299330544859742,0.4040117524017136,0.0,0,5.572104904102371,11.720576107260293,4.081311350789926
274,0.0607849863133176,0.9395850450389788,0.0,0.8916666666666667,0.6945533951529693,0.0,0.0,0.0,0.0,4.335178824731977,0.0,0.0,0.0,0.0,4.335178824731977,1.4568467772171496,0.0,0.5047998888779981,0.0,0,7.572219871947003,11.41334904545696,9.804289987875022
276,0.01313133765107,0.1507885326402955,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3222815033545428,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.4563747159018551,0.0,0,13.55422304532636,12.558278262938526,20.60859650930052
277,0.0081434356147802,0.0840452539681386,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3027690597220125,0.0,0.0,0.0,0.0,0.0,5.855068412724205,0.0,0.4023847013271894,0.0,0,15.49047839193314,15.51433455403908,17.866235838721956
279,0.0641428611785235,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.65676637630625,0.0,0.0,0.0,0.0,0.0,6.2273305907175605,0.0114001869186429,0.2524690226982498,0.0,0,5.4711801845148225,11.555869610638949,7.47220550913066
280,0.0007892635429431,0.1122277849331087,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5608860146309262,0.0,0.0,0.0,0.0,0.0,4.638964118269061,0.4990226836180916,0.6356989651205659,0.0,0,15.827578742629981,16.36405755542466,10.660230533905017
303,0.9488164553321032,0.2343825279045595,0.0,1.0,0.0,0.0,0.212244879591129,0.0,0.2291271670375264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177520870018254,1.8049353713025504,0.0,0,13.16404704228126,11.750559486491449,9.298276974253211
