target,R2_Form,R2_BuiltTrans,R2_All,Delta_R2_FormOnly,Delta_R2_Form_vs_BuiltTrans
cooling_kwh_per_m2,0.6397133255750355,0.9195205569580078,0.9380862902888071,0.6397133255750355,0.01856573333079925
heating_kwh_per_m2,0.6172979904565498,0.9669413781704421,0.9682127915863494,0.6172979904565498,0.0012714134159073076
other_electricity_kwh_per_m2,0.5662555593762739,0.8090068816801637,0.8373434994808797,0.5662555593762739,0.028336617800716057
