target,R2_Form,Share_Form_vs_All,Delta_Form_vs_BT
Cooling load,0.6397133255750355,0.6819344149865871,0.0185657333307992
Heating load,0.6172979904565498,0.6375643823556079,0.0012714134159073
Other electricity,0.5662555593762739,0.6762524098262306,0.028336617800716
