target,R2_Form,R2_BuiltTrans,R2_All,Delta_R2_FormOnly,Delta_R2_Form_vs_BuiltTrans
cooling_kwh_per_m2,0.6491152097922218,0.9191819983640684,0.9354230899595575,0.6491152097922218,0.016241091595489032
heating_kwh_per_m2,0.6359257381188217,0.9544934713774056,0.9518708195391566,0.6359257381188217,-0.002622651838248946
other_electricity_kwh_per_m2,0.5834538008113921,0.8109134388134658,0.8374572526458806,0.5834538008113921,0.026543813832414775
