grid_id_main,single_family_ha,multi_family_ha,facility_neighborhood_ha,facility_sales_ha,facility_office_ha,facility_education_ha,facility_industrial_ha,parks_green_ha,water_area_ha,road_area_ha,subway_influence_ha,bus_routes_cnt,cooling_kwh_per_m2,heating_kwh_per_m2,other_electricity_kwh_per_m2
3328,6.300162526134281,0.0055429157067146,0.0,0.0,0.0,0.0,0.0,5.973316017109307,0.0,1.0398636721316643,0.0,0,18.521385862434304,19.27841694271238,11.044433427510608
3329,4.891003028118266,0.1348068943719753,0.0,0.0,0.0,0.0,0.0,5.4238480171736105,0.0,1.4063225113915985,0.0,0,15.751472362350416,15.895549931526675,9.512466311637674
3330,3.785117070570929,0.008372631700002,0.0,0.0,0.0,0.0,0.0,6.104005143683295,0.0,0.6845097848566958,0.0,0,10.97220598302308,11.191819330132994,7.486839854532585
3331,1.060775613486715,0.0,0.0,0.0,0.0,0.0,0.0,5.635901283730784,0.0,1.0978992823852625,0.0,0,4.107532953183958,3.678145513232874,2.589962978416019
3332,0.635681603457782,0.0,0.0,0.0,0.0,0.0,0.0,4.928582729277244,0.0,2.237285644490401,0.0,13,2.212230272736539,1.9940993035442676,1.7238064777624342
3333,0.1101087504069896,0.0,0.0,0.0,0.0,0.0,0.0,3.8628996005727023,0.0,2.1799403518349627,0.0,0,0.490130232460214,0.4051414356816594,0.3050687706208939
3334,0.0584654292964679,0.0144689556914249,0.0,0.0,0.0,0.0,0.0,1.187745377171778,0.0,3.114121459304866,0.0,0,0.3172005836209086,0.2567024885046945,0.2146974247184692
3335,0.6138765832188028,0.0135851877321451,0.0,0.0,0.0,0.0,0.1769074736546003,1.9842111182879545,0.0,2.2176123372463774,0.0,0,2.615754078791094,2.3337242149141133,1.44185443805356
3336,0.4709595587276417,0.9861427463990398,0.0,0.0,0.0,0.0,1.5565276860399322,2.116548681930821,0.0,1.3923558209927118,0.0,11,3.797401780980482,3.875420201670601,4.154417145296717
3337,5.61232380524723,5.331179917582421,0.0,0.0,0.0,0.0,10.943503722829652,0.3595926437144872,0.0,1.5168861151527282,0.0,0,17.118530467795477,24.62049993594151,12.525685515772004
3338,21.186773517026747,0.0,0.0,0.0,0.0,0.0,21.186773517026747,0.0,0.0,0.0371880544222635,0.0,0,30.694492184901883,48.54641709960923,21.18918133220958
3339,6.780852441624214,14.060729310182651,0.0,0.0,0.0,0.0,20.841581751806864,0.0,0.0,0.4146494930917723,0.0,0,26.86680186760275,42.99670534953602,20.20750434816036
3340,6.113211063987381,11.83962975123566,0.0,0.0,0.0,0.0,17.95284081522304,0.0,0.0,0.5512626047160666,0.0,0,24.213269356746537,37.58323225962521,14.173611199798708
3341,7.11466755274861,15.742068187103031,0.0,0.0,0.0,0.0,22.84975960071503,0.0,0.0,0.7120018888745477,0.0,0,32.64141575114083,48.20805189812375,19.50065257754178
3342,12.484264757534968,0.0665082345275771,0.0,0.0,0.0,0.0,12.550772992062546,0.0,0.0,1.3402626825986657,0.0,1,19.377975230481184,29.766745059674005,8.56425801044633
3343,23.87043927319376,0.0,0.0,0.0,0.0,0.0,24.30381559753101,0.0,0.0,0.3106887661514049,0.0,0,31.73833062084558,54.32903202013462,16.10665822860111
3344,15.049008609563751,0.1908934213424538,0.0,0.0,0.0,0.0,14.48961891621566,0.0,0.0,0.4165468365492416,0.0,0,23.454746286844102,36.50727721667808,17.485195820165938
3345,0.575966589364259,2.3034384748265464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.679778852665906,8.261373033393177,1.780333498133989
3346,15.24665048426332,0.1267298763352031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0822270786427956,0.0,0,28.75716867348866,39.73626207402549,7.010877419977903
3347,11.284585195724455,0.5256998096835949,0.0,0.0,0.0,0.0,3.261562362332333,0.0,0.0,0.8090477312427687,0.0,0,23.19983039121785,30.872421903784964,7.045311989296595
3348,17.873604907142525,0.0358941856177659,0.0,0.0,0.0,0.0,9.023998869926924,0.0,0.0,0.4163397378171794,0.0,0,35.47764028025769,46.4684846691204,16.843695462606146
3349,9.168732660854214,0.0,0.0,0.0,0.0,13.730435108660307,1.7353736602895635,0.0,0.0,1.0409706093345574,0.0,0,17.241676791728086,23.28497009326136,13.393995259960468
3350,9.960702191890004,0.2919155077688533,0.0,0.0,0.0,22.539133575410258,0.0,0.0,0.0,0.5073307620448768,0.0,0,22.71487880636789,27.64082284648839,19.42947421518121
3351,4.052868893208721,0.4372914976674145,0.0,0.0,0.0,0.6443560121054065,0.0,0.0,0.0,0.5973068767442797,0.0,0,9.102258884768222,11.430171556253516,5.671218128333708
3352,10.072717364493228,0.2964704240284437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1925944694902905,0.0,1,20.72825576901561,28.29434541559686,2.8912487631609536
3353,21.65985733233631,0.2507830624509154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5003062523829647,0.0,2,35.422459712611854,54.696562784215374,6.348137660529773
3354,17.734931770083207,0.2075927780216995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6945117989663021,0.0,0,33.050645595423575,47.43737351393766,4.52147639973118
3355,4.825277308560332,0.0323627992647422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9633407402454448,0.0,0,8.941031025254977,12.867251290524564,1.109408182310605
3356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3751102939082016,0.0,2.6144745425759357,0.0,0,0.0,0.0,0.0
3357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2822326770809287,0.0,0,0.0,0.0,0.0
3358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2111611121210857,0.0,0,0.0,0.0,0.0
3359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2329756923266255,0.0,1,0.0,0.0,0.0
3360,0.0,1.0314289074797094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2026374946768066,0.0,0,2.542974199732004,2.6106962760096604,1.0238773622974753
3361,0.0,0.3427254305774659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4410946118671293,0.0,0,1.6541178274161767,1.282316149931103,0.7665923480892449
3362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8692468334945265,0.0,0,0.0,0.0,0.0
