target,R2_Form,Share_Form_vs_All,Delta_Form_vs_BT,Built_SHAP_share,Form_SHAP_share,Transport_SHAP_share
Cooling load,0.6397133255750355,0.6819344149865871,0.0185657333307992,0.8452669978141785,0.15261147916316986,0.0021215828601270914
Heating load,0.6172979904565498,0.6375643823556079,0.0012714134159073,0.9088698029518127,0.08914420008659363,0.0019860106986016035
Other electricity,0.5662555593762739,0.6762524098262306,0.028336617800716,0.7637061476707458,0.23194943368434906,0.004344429820775986
