center,mean_shap,count
0.025,-0.5367380976676941,421
0.07500000000000001,-0.08486843854188919,93
0.125,0.4808003008365631,117
0.17500000000000002,0.24550925195217133,126
0.225,-0.017719542607665062,133
0.275,-0.006460987962782383,155
0.32500000000000007,-0.062382832169532776,144
0.375,-0.2739555835723877,171
0.42500000000000004,0.1088787242770195,178
0.475,0.11401332169771194,154
0.525,0.2789936065673828,168
0.5750000000000001,0.2300911545753479,129
0.625,0.14219194650650024,166
0.675,0.0895911380648613,125
0.7250000000000001,0.1664186418056488,133
0.775,0.1185254231095314,91
0.8250000000000001,0.2995550036430359,91
0.875,0.45800134539604187,60
0.925,0.2946857810020447,47
0.9750000000000001,0.430665522813797,187
