normalization,target_key,target,Form,Built,Transport
floor,cooling,Cooling load,0.4521770633286839,0.5460035298681317,0.0018194921543945902
land,cooling,Cooling load,0.15947821446393287,0.838251507474759,0.0022702441565647245
floor,heating,Heating load,0.45539791596484536,0.541649817648516,0.0029524037547820257
land,heating,Heating load,0.07760053908616298,0.9203850585375978,0.002014325749849552
floor,other_electricity,Other electricity,0.5196190895707513,0.474403375566555,0.005977672516721342
land,other_electricity,Other electricity,0.23698218378383998,0.757551705033257,0.00546609015011504
