normalization,target_key,target,feature,mean_abs_shap,share,group
floor,cooling,Cooling load,ci_norm,4.389455318450928,0.19993655707105218,Form
floor,cooling,Cooling load,vci_norm,4.468279838562012,0.2035269577063068,Form
floor,cooling,Cooling load,lum_norm,0.0376829095184803,0.0017164296348741066,Form
floor,cooling,Cooling load,lum_adjacency_norm,0.1929437667131424,0.008788450872888693,Form
floor,cooling,Cooling load,lum_intensity_norm,0.5670543909072876,0.025828922808134768,Form
floor,cooling,Cooling load,lum_proximity_norm,0.01923534646630287,0.0008761563035795192,Form
floor,cooling,Cooling load,gi_norm,0.15870952606201172,0.007229105643662288,Form
floor,cooling,Cooling load,li_norm,0.09384343028068542,0.004274501274722869,Form
floor,cooling,Cooling load,single_family_ha,3.592862606048584,0.16365232753666376,Built
floor,cooling,Cooling load,multi_family_ha,5.533625602722168,0.25205269694348864,Built
floor,cooling,Cooling load,facility_neighborhood_ha,0.08270969241857529,0.003767367461075233,Built
floor,cooling,Cooling load,facility_sales_ha,0.01792522333562374,0.000816481129991108,Built
floor,cooling,Cooling load,facility_office_ha,0.06842181086540222,0.0031165646533618235,Built
floor,cooling,Cooling load,facility_education_ha,0.02290238067507744,0.0010431870946852593,Built
floor,cooling,Cooling load,facility_industrial_ha,1.2342901229858398,0.05622103420879218,Built
floor,cooling,Cooling load,parks_green_ha,0.30943942070007324,0.01409474477089957,Built
floor,cooling,Cooling load,water_area_ha,0.2913439869880676,0.013270510679740702,Built
floor,cooling,Cooling load,road_area_ha,0.8335731625556946,0.03796866264651494,Built
floor,cooling,Cooling load,subway_influence_ha,0.0025121469516307116,0.00011442650076748894,Transport
floor,cooling,Cooling load,bus_routes_cnt,0.03743342310190201,0.0017050657066534495,Transport
floor,heating,Heating load,ci_norm,3.2640082836151123,0.24217023915381383,Form
floor,heating,Heating load,vci_norm,2.0476577281951904,0.151924173793138,Form
floor,heating,Heating load,lum_norm,0.0323527529835701,0.0024003842044903684,Form
floor,heating,Heating load,lum_adjacency_norm,0.1348370909690857,0.010004120005057713,Form
floor,heating,Heating load,lum_intensity_norm,0.40710365772247314,0.03020469973864475,Form
floor,heating,Heating load,lum_proximity_norm,0.045990195125341415,0.00341220229376961,Form
floor,heating,Heating load,gi_norm,0.11293217539787292,0.008378903957306338,Form
floor,heating,Heating load,li_norm,0.09304200857877731,0.00690317043065772,Form
floor,heating,Heating load,single_family_ha,1.977986216545105,0.14675495693691679,Built
floor,heating,Heating load,multi_family_ha,3.5430798530578613,0.26287571010872457,Built
floor,heating,Heating load,facility_neighborhood_ha,0.08969303220510483,0.006654696058394646,Built
floor,heating,Heating load,facility_sales_ha,0.00974432285875082,0.0007229715098890734,Built
floor,heating,Heating load,facility_office_ha,0.0548233762383461,0.004067572438926245,Built
floor,heating,Heating load,facility_education_ha,0.029389582574367523,0.002180534368246905,Built
floor,heating,Heating load,facility_industrial_ha,0.6567077040672302,0.04872385359634288,Built
floor,heating,Heating load,parks_green_ha,0.23810520768165588,0.017666007582606533,Built
floor,heating,Heating load,water_area_ha,0.18258044123649597,0.013546396110882212,Built
floor,heating,Heating load,road_area_ha,0.5183309316635132,0.038457110023858564,Built
floor,heating,Heating load,subway_influence_ha,0.005042488221079111,0.00037412300224818083,Transport
floor,heating,Heating load,bus_routes_cnt,0.03475046902894974,0.002578280648885849,Transport
floor,other_electricity,Other electricity,ci_norm,1.4565235376358032,0.14163243186850127,Form
floor,other_electricity,Other electricity,vci_norm,2.8510453701019287,0.27723581439020717,Form
floor,other_electricity,Other electricity,lum_norm,0.031186234205961227,0.003032551192808374,Form
floor,other_electricity,Other electricity,lum_adjacency_norm,0.1307690441608429,0.012715989312251498,Form
floor,other_electricity,Other electricity,lum_intensity_norm,0.25501906871795654,0.02479806878644209,Form
floor,other_electricity,Other electricity,lum_proximity_norm,0.01556527428328991,0.0015135681590295246,Form
floor,other_electricity,Other electricity,gi_norm,0.3766573965549469,0.03662618672261699,Form
floor,other_electricity,Other electricity,li_norm,0.22690728306770325,0.022064477146533437,Form
floor,other_electricity,Other electricity,single_family_ha,1.8355494737625122,0.17848893551415954,Built
floor,other_electricity,Other electricity,multi_family_ha,1.8088533878326416,0.1758930065958014,Built
floor,other_electricity,Other electricity,facility_neighborhood_ha,0.03279908001422882,0.0031893844111885194,Built
floor,other_electricity,Other electricity,facility_sales_ha,0.010419311001896858,0.0010131743960610663,Built
floor,other_electricity,Other electricity,facility_office_ha,0.020364802330732346,0.0019802745400906486,Built
floor,other_electricity,Other electricity,facility_education_ha,0.007193972356617451,0.0006995422822458182,Built
floor,other_electricity,Other electricity,facility_industrial_ha,0.446461021900177,0.04341389523224408,Built
floor,other_electricity,Other electricity,parks_green_ha,0.11054966598749161,0.010749855825518448,Built
floor,other_electricity,Other electricity,water_area_ha,0.16015034914016724,0.01557302908412255,Built
floor,other_electricity,Other electricity,road_area_ha,0.44634103775024414,0.04340222796666164,Built
floor,other_electricity,Other electricity,subway_influence_ha,0.012884330935776234,0.001252873075017098,Transport
floor,other_electricity,Other electricity,bus_routes_cnt,0.04858902469277382,0.0047247995322661045,Transport
