center,mean_shap,count
0.025,0.315212607383728,421
0.07500000000000001,1.002610683441162,93
0.125,1.5592483282089233,117
0.17500000000000002,1.136640191078186,126
0.225,0.7389369010925293,133
0.275,0.8974568843841553,155
0.32500000000000007,0.47638723254203796,144
0.375,0.2567431628704071,171
0.42500000000000004,0.05414380878210068,178
0.475,0.030793119221925735,154
0.525,0.013361893594264984,168
0.5750000000000001,-0.08736079931259155,129
0.625,-0.35539260506629944,166
0.675,-0.5716599822044373,125
0.7250000000000001,-0.5750646591186523,133
0.775,-0.6939494013786316,91
0.8250000000000001,-0.7094487547874451,91
0.875,-0.7799390554428101,60
0.925,-1.2750266790390015,47
0.9750000000000001,-1.6176129579544067,187
