center,mean_shap,count
0.025,10.20244312286377,421
0.07500000000000001,3.939448833465576,93
0.125,1.9734396934509277,117
0.17500000000000002,1.1416046619415283,126
0.225,0.3962934613227844,133
0.275,0.31735101342201233,155
0.32500000000000007,-0.28023239970207214,144
0.375,-0.45929545164108276,171
0.42500000000000004,-0.7369565367698669,178
0.475,-0.9949582815170288,154
0.525,-1.2888790369033813,168
0.5750000000000001,-1.5258997678756714,129
0.625,-1.8130443096160889,166
0.675,-2.1536705493927,125
0.7250000000000001,-2.2201268672943115,133
0.775,-2.2838690280914307,91
0.8250000000000001,-2.8690145015716553,91
0.875,-3.0371432304382324,60
0.925,-2.9360010623931885,47
0.9750000000000001,-3.025871753692627,187
