target_key,target,Built_floor,Built_land,Form_floor,Form_land,Transport_floor,Transport_land,Form_original_land_full,delta_Form_floor_vs_land_filtered,delta_Form_floor_vs_original_land_full
cooling,Cooling load,0.5460035298681317,0.838251507474759,0.4521770633286839,0.15947821446393287,0.0018194921543945902,0.0022702441565647245,0.1526114720356879,0.29269884886475106,0.299565591292996
heating,Heating load,0.541649817648516,0.9203850585375978,0.45539791596484536,0.07760053908616298,0.0029524037547820257,0.002014325749849552,0.0891442023293709,0.37779737687868237,0.36625371363547443
other_electricity,Other electricity,0.474403375566555,0.757551705033257,0.5196190895707513,0.23698218378383998,0.005977672516721342,0.00546609015011504,0.231949426428523,0.28263690578691136,0.2876696631422283
