center,mean_shap,count
0.025,1.7069244384765625,421
0.07500000000000001,1.6339476108551025,93
0.125,1.6479414701461792,117
0.17500000000000002,1.3132914304733276,126
0.225,0.9514099955558777,133
0.275,0.8994136452674866,155
0.32500000000000007,0.5284889340400696,144
0.375,0.35775163769721985,171
0.42500000000000004,0.2904852032661438,178
0.475,0.12844030559062958,154
0.525,-0.1885814219713211,168
0.5750000000000001,-0.35628876090049744,129
0.625,-0.6603866219520569,166
0.675,-1.0944815874099731,125
0.7250000000000001,-1.1140484809875488,133
0.775,-1.527371883392334,91
0.8250000000000001,-1.8969141244888306,91
0.875,-2.0690650939941406,60
0.925,-2.126596212387085,47
0.9750000000000001,-2.3682305812835693,187
