fold,rmse,mae,r2
1,3.342667934907223,1.870282956731729,0.9073965206090051
2,3.0283961679132227,1.8210679738028743,0.9240785044298662
3,2.967039714810095,1.7319956887450203,0.9125288101071438
4,2.7208308231619904,1.6558833628166254,0.9317191730743831
5,2.9931409250380647,1.7646549913661618,0.9117764778694144
