fold,rmse,mae,r2
1,4.55473048697867,1.5968894945807668,0.9448590144673363
2,4.285815399387838,1.6816411240400617,0.9470821910223308
3,3.207217572487558,1.4357436037514988,0.9630711826388718
4,2.2820166916678617,1.333024935406935,0.9824440378158557
5,2.941243026005984,1.4564819885878846,0.9686240601765019
